Provnce,Health region,Hospital name,Type of hospital,Teaching status,Intensive Care,Obstetrics,Pediatrics,Mental Health and Addictions ,Rehabilitation,Long-Term Care,Other Acute
ON,Hamilton Niagara Haldimand Brant LHIN,Brant Community Healthcare System,G,Non-Teaching,15,15,8,18,45,46,148
ON,Hamilton Niagara Haldimand Brant LHIN,Haldimand War Memorial Hospital,G,Non-Teaching,,,1,,,13,26
ON,Hamilton Niagara Haldimand Brant LHIN,Hamilton Health Sciences,G,Teaching,110,49,63,26,122,238,643
ON,Hamilton Niagara Haldimand Brant LHIN,Hotel Dieu Shaver Health and Rehabilitation Centre,G,Non-Teaching,,,,,37,98,
ON,Hamilton Niagara Haldimand Brant LHIN,Joseph Brant Hospital,G,Non-Teaching,17,12,4,16,45,29,132
ON,Hamilton Niagara Haldimand Brant LHIN,Niagara Health System,G,Non-Teaching,51,28,16,91,,173,414
ON,Hamilton Niagara Haldimand Brant LHIN,Norfolk General Hospital,G,Non-Teaching,6,5,,,,26,61
ON,Hamilton Niagara Haldimand Brant LHIN,St. Joseph’s Healthcare Hamilton,G,Teaching,34,21,,364,19,46,312
ON,Hamilton Niagara Haldimand Brant LHIN,West Haldimand General Hospital,G,Non-Teaching,,,,,,,23
ON,Mississauga Halton LHIN,Halton Healthcare Services,G,Non-Teaching,27,36,8,66,52,110,351
ON,Mississauga Halton LHIN,Trillium Health Partners,G,Non-Teaching,87,80,41,92,140,39,773
ON,North East LHIN,Anson General Hospital,G,Non-Teaching,,,,,,,34
ON,North East LHIN,Bingham Memorial Hospital,G,Non-Teaching,,,,,,20,17
ON,North East LHIN,Blind River District Health Centre,G,Non-Teaching,,,,,,20,20
ON,North East LHIN,Englehart and District Hospital,G,Non-Teaching,,,,,,,8
ON,North East LHIN,Espanola General Hospital,G,Non-Teaching,,,,,,32,15
ON,North East LHIN,Health Sciences North / Horizon Santé-Nord,G,Non-Teaching,25,8,9,71,30,,311
ON,North East LHIN,Hornepayne Community Hospital,G,Non-Teaching,,,,,,12,6
ON,North East LHIN,Hôpital Notre-Dame Hospital,G,Non-Teaching,,,,,,21,23
ON,North East LHIN,Hôpital de Mattawa Hospital,G,Non-Teaching,,,,,,,19
ON,North East LHIN,Hôpital de Smooth Rock Falls Hospital,G,Non-Teaching,,,,,,20,17
ON,North East LHIN,Kirkland and District Hospital,G,Non-Teaching,6,,,,,,32
ON,North East LHIN,Lady Dunn Health Centre,G,Non-Teaching,,,,,,16,12
ON,North East LHIN,Lady Minto Hospital,G,Non-Teaching,,,,,,,14
ON,North East LHIN,Manitoulin Health Centre,G,Non-Teaching,,2,4,,,,26
ON,North East LHIN,North Bay Regional Health Centre,"G,S-Psy",Non-Teaching,16,9,10,171,29,30,123
ON,North East LHIN,Sault Area Hospital,G,Non-Teaching,18,6,4,36,46,50,110
ON,North East LHIN,Sensenbrenner Hospital,G,Non-Teaching,,,,,,20,33
ON,North East LHIN,Services de santé de Chapleau Health Services,G,Non-Teaching,,,,,,25,12
ON,North East LHIN,St. Joseph’s General Hospital [Elliot Lake],G,Non-Teaching,6,,,,,2,46
ON,North East LHIN,Temiskaming Hospital,G,Non-Teaching,3,5,,,,11,40
ON,North East LHIN,Timmins and District Hospital,G,Non-Teaching,7,10,5,24,10,31,65
ON,North East LHIN,Weeneebayko Area Health Authority,G,Non-Teaching,,,,,,6,6
ON,North East LHIN,West Nipissing General Hospital,G,Non-Teaching,,,2,,,19,29
ON,North East LHIN,West Parry Sound Health Centre,"E,G",Non-Teaching,6,2,,,5,20,57
ON,North Simcoe Muskoka LHIN,Collingwood General and Marine Hospital,G,Non-Teaching,5,5,,,,,64
ON,North Simcoe Muskoka LHIN,Georgian Bay General Hospital,G,Non-Teaching,7,3,,,15,21,66
ON,North Simcoe Muskoka LHIN,Hôpital privé Beechwood Private Hospital,E,Non-Teaching,,,,,,,
ON,North Simcoe Muskoka LHIN,Muskoka Algonquin Healthcare,G,Non-Teaching,9,7,,,,16,64
ON,North Simcoe Muskoka LHIN,Orillia Soldiers’ Memorial Hospital,G,Non-Teaching,8,10,6,23,7,9,85
ON,North Simcoe Muskoka LHIN,Royal Victoria Regional Health Centre,G,Non-Teaching,22,16,8,44,33,,240
ON,North Simcoe Muskoka LHIN,Waypoint Centre for Mental Health Care,S-Psy,Non-Teaching,,,,301,,,
ON,North West LHIN,Atikokan General Hospital,G,Non-Teaching,,,,,,26,15
ON,North West LHIN,Dryden Regional Health Centre,G,Non-Teaching,,,,,,,41
ON,North West LHIN,Geraldton District Hospital,G,Non-Teaching,,,,,,26,23
ON,North West LHIN,Lake of the Woods District Hospital,G,Non-Teaching,4,3,,17,,,45
ON,North West LHIN,Nipigon District Memorial Hospital,G,Non-Teaching,,,,,,10,5
ON,North West LHIN,North of Superior Healthcare Group,"E,G",Non-Teaching,,2,,,,25,18
ON,North West LHIN,Red Lake Margaret Cochenour Memorial Hospital,G,Non-Teaching,,,,,,,18
ON,North West LHIN,Riverside Health Care Facilities Inc.,G,Non-Teaching,3,2,2,,,33,72
ON,North West LHIN,Santé Manitouwadge Health,G,Non-Teaching,,,,,,9,9
ON,North West LHIN,Sioux Lookout Meno Ya Win Health Centre,G,Non-Teaching,,5,,,,20,54
ON,North West LHIN,St. Joseph’s Care Group,"E,S-Psy,R",Non-Teaching,,,,39,50,175,
ON,North West LHIN,Thunder Bay Regional Health Sciences Centre,G,Non-Teaching,22,18,12,58,,,318
ON,South East LHIN,Brockville General Hospital,G,Non-Teaching,9,13,,24,,47,55
ON,South East LHIN,Kingston Health Sciences Centre,G,Non-Teaching,65,19,15,46,,,336
ON,South East LHIN,Lennox and Addington County General Hospital,G,Non-Teaching,,,,,,,30
ON,South East LHIN,Perth and Smiths Falls District Hospital,G,Non-Teaching,8,4,,,,,76
ON,South East LHIN,Quinte Health Care,G,Non-Teaching,15,14,6,22,43,20,146
ON,South East LHIN,St. Mary’s of the Lake Hospital,"S-Psy,E,R",Non-Teaching,,,,120,50,100,
ON,South West LHIN,Alexandra Hospital,G,Non-Teaching,4,,,,,5,17
ON,South West LHIN,Alexandra Marine and General Hospital,G,Non-Teaching,4,2,,20,,,16
ON,South West LHIN,Clinton Public Hospital,G,Non-Teaching,,,,,,,20
ON,South West LHIN,Four Counties Health Services,G,Non-Teaching,,,,,,,12
ON,South West LHIN,Grey Bruce Health Services,G,Non-Teaching,18,16,,43,16,10,121
ON,South West LHIN,Hanover and District Hospital,G,Non-Teaching,,2,,,,,26
ON,South West LHIN,Listowel Memorial Hospital,G,Non-Teaching,,4,,,,15,20
ON,South West LHIN,London Health Sciences Centre,G,Teaching,97,59,63,128,,,711
ON,South West LHIN,Seaforth Community Hospital,G,Non-Teaching,,,,,,,20
ON,South West LHIN,South Bruce Grey Health Centre,G,Non-Teaching,,3,,,,,74
ON,South West LHIN,South Huron Hospital,G,Non-Teaching,,,,,,,19
ON,South West LHIN,St. Joseph’s Health Care London,"S-Psy,E,G,R",Teaching,,,,239,114,111,1
ON,South West LHIN,St. Marys Memorial Hospital,G,Non-Teaching,,,,,,,20
ON,South West LHIN,St. Thomas Elgin General Hospital,G,Non-Teaching,6,6,6,15,15,30,77
ON,South West LHIN,Stratford General Hospital,G,Non-Teaching,6,11,4,15,8,5,66
ON,South West LHIN,Strathroy Middlesex General Hospital,G,Non-Teaching,4,,,,,,50
ON,South West LHIN,Tillsonburg District Memorial Hospital,G,Non-Teaching,5,,,,,10,33
ON,South West LHIN,Wingham and District Hospital,G,Non-Teaching,,,,,5,5,22
ON,South West LHIN,Woodstock General Hospital,G,Non-Teaching,12,14,,17,22,21,77
ON,Toronto Central LHIN,Baycrest,"E,R,S-Psy",Non-Teaching,,,,40,32,190,
ON,Toronto Central LHIN,Casey House,S-Oth,Non-Teaching,,,,,,,13
ON,Toronto Central LHIN,Centre for Addiction and Mental Health,S-Psy,Non-Teaching,,,,495,,,
ON,Toronto Central LHIN,Holland Bloorview Kids Rehabilitation Hospital,"R,E",Non-Teaching,,,,,47,16,
ON,Toronto Central LHIN,Hospital for Sick Children,S-Ped,Teaching,32,,,10,,,221
ON,Toronto Central LHIN,Michael Garron Hospital,G,Non-Teaching,26,21,7,45,13,75,180
ON,Toronto Central LHIN,Runnymede Healthcare Centre,E,Non-Teaching,,,,,9,197,
ON,Toronto Central LHIN,Sinai Health System,G,Non-Teaching,24,64,,15,96,342,191
ON,Toronto Central LHIN,Sunnybrook Health Sciences Centre,G,Teaching,70,48,,34,173,340,433
ON,Toronto Central LHIN,The Salvation Army Toronto Grace Health Centre,"E,G",Non-Teaching,,,,,error,100,19
ON,Toronto Central LHIN,Unity Health Toronto,G,Teaching,97,49,10,86,134,111,594
ON,Toronto Central LHIN,University Health Network,G,Teaching,97,,,34,213,181,728
ON,Toronto Central LHIN,West Park Healthcare Centre,"E,R",Non-Teaching,,,,,119,146,
ON,Waterloo Wellington LHIN,Cambridge Memorial Hospital,G,Non-Teaching,7,10,7,20,14,,80
ON,Waterloo Wellington LHIN,Grand River Hospital,G,Non-Teaching,19,41,12,112,32,120,175
ON,Waterloo Wellington LHIN,Groves Memorial Community Hospital,G,Non-Teaching,,3,,,,9,27
ON,Waterloo Wellington LHIN,Guelph General Hospital,G,Non-Teaching,22,22,8,,,,148
ON,Waterloo Wellington LHIN,Homewood Health Centre Inc.,S-Psy,Non-Teaching,,,,301,,,
ON,Waterloo Wellington LHIN,North Wellington Health Care Corporation,G,Non-Teaching,,2,,,,,28
ON,Waterloo Wellington LHIN,St. Joseph’s Health Centre Guelph,"E,R",Non-Teaching,,,,,31,63,
ON,Waterloo Wellington LHIN,St. Mary’s General Hospital,G,Non-Teaching,31,,,,,,154
PE,Health PEI,Hillsborough Hospital,S-Psy,Non-Teaching,,,,69,,,
PE,Health PEI,Kings County Memorial Hospital,G,Non-Teaching,,,,,,,30
PE,Health PEI,O’Leary Community Hospital,"G,E",Non-Teaching,,,,,,,13
PE,Health PEI,Prince County Hospital,"G,C,R,S-Psy",Non-Teaching,6,9,7,14,,,64
PE,Health PEI,Queen Elizabeth Hospital,"G,C,R",Non-Teaching,18,15,12,24,20,,144
PE,Health PEI,Souris Hospital,G,Non-Teaching,,,,,,,17
PE,Health PEI,Western Hospital,G,Non-Teaching,,,,,,,27
QC,CRSSS de la Baie-James,CRSSS de la Baie-James,,,3,4,,,,,31
QC,CHUM,CHUM,,,91,19,,28,,,555
QC,CISSS des Îles,CISSS des Îles,,,3,3,,4,,,20
QC,CHU de Québec,CHU de Québec,,,126,98,81,,,,902
QC,CISSS du Bas-Saint-Laurent,CISSS du Bas-Saint-Laurent,,,29,29,27,58,,,332
QC,CIUSSS du Saguenay–Lac-Saint-Jean,CIUSSS du Saguenay–Lac-Saint-Jean,,,40,61,39,110,,,566
QC,CIUSSS de la Capitale-Nationale,CIUSSS de la Capitale-Nationale,,,,4,,325,42,,326
QC,CIUSSS de la Mauricie et du Centre-du-Québec,CIUSSS de la Mauricie et du Centre-du-Québec,,,50,69,52,138,26,,844
QC,CIUSSS de l’Estrie - CHUS,CIUSSS de l’Estrie - CHUS,,,84,55,43,141,24,,730
QC,CIUSSS de l’Ouest-de-l’Île-de-Montréal,CIUSSS de l’Ouest-de-l’Île-de-Montréal,,,35,97,,326,,,445
QC,CIUSSS du Centre-Ouest-de-l’Île-de-Montréal,CIUSSS du Centre-Ouest-de-l’Île-de-Montréal,,,60,51,,48,,,572
QC,CIUSSS du Centre-Sud-de-l’Île-de-Montréal,CIUSSS du Centre-Sud-de-l’Île-de-Montréal,,,25,,,38,174,,442
QC,CIUSSS du Nord-de-l’Île-de-Montréal,CIUSSS du Nord-de-l’Île-de-Montréal,,,42,26,,224,,,570
QC,CIUSSS de l’Est-de-l’Île-de-Montréal,CIUSSS de l’Est-de-l’Île-de-Montréal,,,42,26,16,267,33,,742
QC,CISSS de l’Outaouais,CISSS de l’Outaouais,,,37,29,18,164,,,523
QC,CISSS de l’Abitibi-Témiscamingue,CISSS de l’Abitibi-Témiscamingue,,,21,29,22,66,17,,202
QC,CISSS de la Côte-Nord,CISSS de la Côte-Nord,,,9,21,20,42,,,146
QC,CISSS de la Gaspésie,CISSS de la Gaspésie,,,16,16,11,32,,,130
QC,CISSS de Laval,CISSS de Laval,,,22,46,20,54,,,553
QC,CISSS de Lanaudière,CISSS de Lanaudière,,,44,54,33,141,,,546
QC,CISSS des Laurentides,CISSS des Laurentides,,,41,59,15,171,30,,684
QC,CISSS de la Montérégie-Centre,CISSS de la Montérégie-Centre,,,44,34,33,141,,,599
QC,CISSS de la Montérégie-Est,CISSS de la Montérégie-Est,,,28,47,18,117,15,,596
QC,CISSS de la Montérégie-Ouest,CISSS de la Montérégie-Ouest,,,18,34,4,63,15,,412
QC,CISSS de Chaudière-Appalaches,CISSS de Chaudière-Appalaches,,,41,41,22,117,,,383
QC,Institut de cardiologie de Montréal,Institut de cardiologie de Montréal,,,66,,,,,,87
QC,Hôpital Marie-Clarac,Hôpital Marie-Clarac,,,,,,,,,228
QC,CUSM,CUSM,,,124,29,68,54,,,529
QC,CHU Sainte-Justine,CHU Sainte-Justine,,,30,86,158,12,,,
QC,INPL Philippe-Pinel,INPL Philippe-Pinel,,,,,,267,,,
QC,Hôpital Shriners pour enfants Inc.,Hôpital Shriners pour enfants Inc.,,,,,,,,,22
QC,Inst. univ. cardio. et pneumo. de Québec – UL,Inst. univ. cardio. et pneumo. de Québec – UL,,,45,,,,,,282
QC,CS Inuulitsivik,CS Inuulitsivik,,,,,,,,,19
QC,Villa Médica Inc.,Villa Médica Inc.,,,,,,,142,,
QC,CH Kateri Memorial - Tehsakotitsén:tha,CH Kateri Memorial - Tehsakotitsén:tha,,,,,,,,,10
SK,Cypress Health Region,Cypress Regional Hospital,"G,S-Ped,S-Psy",Non-Teaching,4,15,,10,,,48
SK,Cypress Health Region,Herbert and District Integrated Health Facility,G,Non-Teaching,,,,,,,6
SK,Cypress Health Region,Leader and District Integrated Healthcare Facility,G,Non-Teaching,,,,,,,6
SK,Cypress Health Region,Shaunavon Hospital and Care Centre,G,Non-Teaching,,,,,,,10
SK,Cypress Health Region,Southwest Integrated Healthcare Facility,G,Non-Teaching,,,,,,,10
SK,Five Hills Health Region,Assiniboia Union Hospital,"G,E",Non-Teaching,,,,,,,17
SK,Five Hills Health Region,Central Butte Regency Hospital,"G,E",Non-Teaching,,,,,,,5
SK,Five Hills Health Region,Dr. F.H. Wigmore Regional Hospital,G,Non-Teaching,4,7,10,12,,,40
SK,Five Hills Health Region,Emmanuel Health  St. Joseph’s Hospital/Foyer d’Youville,"G,E",Non-Teaching,,,,,,,9
SK,Heartland Health Region,Biggar Hospital,G,Non-Teaching,,,,,,,15
SK,Heartland Health Region,Davidson Health Centre,G,Non-Teaching,,,zero,,,,5
SK,Heartland Health Region,Kerrobert Integrated Health Centre,G,Non-Teaching,,,,,,,8
SK,Heartland Health Region,Kindersley and District Health Centre,G,Non-Teaching,,,,,,,26
SK,Heartland Health Region,Outlook and District Health Centre,G,Non-Teaching,,,,,,,13
SK,Heartland Health Region,Rosetown Health Centre,G,Non-Teaching,,,,,,,21
SK,Heartland Health Region,Unity and District Health Centre,G,Non-Teaching,,,,,,,10
SK,Keewatin Yatthé Health Region,La Loche Health Centre,"G,E",Non-Teaching,,,,,,,19
SK,Keewatin Yatthé Health Region,St. Joseph’s Health Centre,"G,E",Non-Teaching,,,,,,,13
SK,Kelsey Trail Health Region,Hudson Bay Health Care Facility,G,Non-Teaching,,,,,,,5
SK,Kelsey Trail Health Region,Kelvington Hospital,G,Non-Teaching,,,,,,,7
SK,Kelsey Trail Health Region,Melfort Hospital,G,Non-Teaching,,,,,,,24
SK,Kelsey Trail Health Region,Nipawin Hospital,G,Non-Teaching,,,,,,,24
SK,Kelsey Trail Health Region,Porcupine Carragana Hospital,G,Non-Teaching,,,,,,,7
SK,Kelsey Trail Health Region,Tisdale Hospital,G,Non-Teaching,,,,,,,15
SK,Mamawetan Churchill River Health Region,La Ronge Health Centre,G,Non-Teaching,,,,,,,24
SK,Prairie North Health Region,Battlefords Union Hospital,"G,S-Psy",Non-Teaching,3,15,,,,,48
SK,Prairie North Health Region,Lloydminster Hospital,G,Non-Teaching,,13,,,,,53
SK,Prairie North Health Region,Maidstone Health Complex,G,Non-Teaching,,,,,,,11
SK,Prairie North Health Region,Northwest Health Facility,G,Non-Teaching,,,,,,,32
SK,Prairie North Health Region,Riverside Health Complex,G,Non-Teaching,,,,,,,9
SK,Prairie North Health Region,Saskatchewan Hospital,S-Psy,Non-Teaching,,,,280,,,
SK,Prince Albert Parkland Health Region,Parkland Integrated Health Centre,G,Non-Teaching,,,,,,,20
SK,Prince Albert Parkland Health Region,Victoria Hospital,G,Non-Teaching,8,13,14,10,,,99
SK,Regina Qu’Appelle Health Region,Balcarres Integrated Care Centre,G,Non-Teaching,,,,,,,
SK,Regina Qu’Appelle Health Region,Broadview Union Hospital,G,Non-Teaching,,,,,,,16
SK,Regina Qu’Appelle Health Region,Indian Head Hospital,G,Non-Teaching,,,,,,,15
SK,Regina Qu’Appelle Health Region,Pasqua Hospital,"G,S-Ped",Teaching,6,,,,,24,243
SK,Regina Qu’Appelle Health Region,Regina General Hospital,"G,S-Psy,S-Ped",Teaching,31,36,26,60,,,315
SK,Regina Qu’Appelle Health Region,Southeast Integrated Care Centre  Moosomin,G,Non-Teaching,,,,,,,27
SK,Regina Qu’Appelle Health Region,St. Joseph’s Integrated Care Centre,G,Non-Teaching,,,,,,,
SK,Regina Qu’Appelle Health Region,Wascana Rehabilitation Centre,R,Non-Teaching,,,,,45,,
SK,Regina Qu’Appelle Health Region,Wolseley Memorial Integrated Care Centre,G,Non-Teaching,,,,,,,10
SK,Saskatoon Health Region,Emmanuel Health  St. Paul’s Hospital,"G,S-Oth",Teaching,10,,,,,,234
SK,Saskatoon Health Region,Humboldt District Hospital,"G,S-Oth",Non-Teaching,,,,,,,38
SK,Saskatoon Health Region,Lanigan Hospital,"G,E",Non-Teaching,,,,,,,10
SK,Saskatoon Health Region,Rosthern Hospital,G,Non-Teaching,,,,,,,19
SK,Saskatoon Health Region,Royal University Hospital,"G,S-Psy,S-Oth,S-Ped",Teaching,30,62,42,64,,,233
SK,Saskatoon Health Region,Saskatoon City Hospital,"G,R,S-Oth",Teaching,,,,,35,30,103
SK,Saskatoon Health Region,Wadena Hospital,"G,E",Non-Teaching,,,,,,,20
SK,Saskatoon Health Region,Watrous Hospital,G,Non-Teaching,,,,,,,8
SK,Saskatoon Health Region,Wynyard Integrated Hospital,G,Non-Teaching,,,,,,,8
SK,Sun Country Health Region,Arcola Health Centre,G,Non-Teaching,,,,,,,12
SK,Sun Country Health Region,Emmanuel Health  St. Joseph’s Hospital [Estevan],G,Non-Teaching,,,,,,,53
SK,Sun Country Health Region,Kipling Integrated Health Centre,G,Non-Teaching,,,,,,,12
SK,Sun Country Health Region,Redvers Health Centre,G,Non-Teaching,,,,,,,5
SK,Sun Country Health Region,Weyburn General Hospital,G,Non-Teaching,5,,,,,,35
SK,Sunrise Health Region,Canora Hospital,G,Non-Teaching,,,,,,,16
SK,Sunrise Health Region,Emmanuel Health  St. Anthony’s Hospital,G,Non-Teaching,,,,,,,22
SK,Sunrise Health Region,Emmanuel Health  St. Peter’s Hospital [Melville],G,Non-Teaching,,,,,,,30
SK,Sunrise Health Region,Kamsack Hospital and Nursing Home,G,Non-Teaching,,,,,,,20
SK,Sunrise Health Region,Preeceville and District Health Centre,G,Non-Teaching,,,,,,,10
SK,Sunrise Health Region,Yorkton Regional Health Centre,"G,S-Psy,S-Ped",Non-Teaching,6,14,13,,,,54
YT,Yukon,Dawson City Community Hospital,G,Non-Teaching,,,,,,,6
YT,Yukon,Watson Lake Community Hospital,G,Non-Teaching,,,,,,,6
YT,Yukon,Whitehorse General Hospital,G,Non-Teaching,,,,,,,55
